TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
77.7998559569613,6,35832.9266639342,14.8766584408121,1005.92648778963,1024.7116737702,33.8053332643394,0.0146816279949725,975.1084132184,-0.0266498803344933,1.20960697369821,1.20978871170248,35579.2250451592,88.2103515625,562.901632972892,179.173924427529,326.0487856007,1916.90613387
78.0398559569611,6,36074.0409593986,13.7210335685102,1003.81404631012,1022.62536445589,33.8053332643394,0.0139720475674051,930.339824581985,-0.0274586628470361,1.16109176141409,1.16121842716043,35820.7296697476,88.2658325195312,562.901632972892,179.202446032059,326.0487856007,1916.90613387
78.2798559569609,6,36314.6490256237,12.8823898781804,1001.70471169385,1020.54222280058,33.8053332643394,0.013305581519647,887.865659245413,-0.0282067329917568,1.1160956099914,1.11623617722739,36061.7247615623,88.3178833007812,562.901632972892,179.229519194883,326.0487856007,1916.90613387
78.5198559569607,6,36554.7885793775,12.3879023491982,1000.0599584153,1018.91753185183,33.7876581029777,0.183467117264942,848.078455192718,-0.0300169192257819,1.07171535428725,1.07182723798153,36302.7010796079,88.3688507080078,563.243685578142,179.25526412422,326.06961063154,1918.44505482005
78.7598559569605,6,36794.6264479226,12.2836388042775,998.879655173382,1017.75111830454,33.7876581029777,0.184049499437193,811.288198058686,-0.0312140851844477,1.02875425292086,1.02911588901675,36545.6232761694,88.4178009033203,563.243685578142,179.27976838561,326.06961063154,1918.44505482005
78.9998559569602,6,37034.0892839536,12.5538811970472,996.932876578058,1015.82857184713,33.7876581029777,0.184592945533091,775.393220561604,-0.0261774650123465,0.992192803658144,0.992325084172111,36786.7821216165,88.4613098144531,563.243685578142,179.303065243489,326.06961063154,1918.44505482005
79.23985595696,6,37273.0486358249,13.1570637939969,994.834998471517,1013.75705978026,33.7876581029777,0.0110539917214654,740.881283738549,-0.0316524952703097,0.954158209790755,0.95436673724398,37026.1127836764,88.5064666748047,563.243685578142,179.325227812063,326.06961063154,1918.44505482005
79.4798559569598,6,37511.5051742556,14.0508531832446,992.739806633232,1011.68830886304,33.7876581029777,0.0105554488142626,708.154437304612,-0.032200165097526,0.917545626898294,0.917912309943473,37262.3726212069,88.5501251220703,563.243685578142,179.346323312862,326.06961063154,1918.44505482005
79.7198559569596,6,37749.459528542,15.1604481363274,990.647226429209,1009.62224686459,33.7876581029777,0.0100921511312183,677.191721650169,-0.0314481954913291,0.884012388362105,0.884424832444008,37499.0627626355,88.5907165527344,563.243685578142,179.366416154263,326.06961063154,1918.44505482005
79.9598559569594,6,37986.9123107182,16.423079136647,988.557182694308,1007.55880094254,33.7876581029777,0.00966129436421889,649.658299621635,-0.0328760294741417,0.851443740374288,0.851774479782004,37736.9978121687,88.6304321289063,563.243685578142,179.385594017135,326.06961063154,1918.44505482005
80.1998559569591,6,38223.864113227,17.8101371555985,986.469588352769,1005.49788653928,33.7876581029777,0.00926125978015192,623.441310660381,-0.0328654977927612,0.820939119142664,0.821245885168614,37974.4328102906,88.6680450439453,563.243685578142,179.403926112496,326.06961063154,1918.44505482005
80.4398559569589,6,38460.3155097487,19.2675914091532,984.384375135879,1003.43943747696,33.7876581029777,0.0088897514203788,598.47189519192,-0.0333254880905552,0.791793743333755,0.792196412639354,38211.5416032335,88.7043609619141,563.243685578142,179.421458382502,326.06961063154,1918.44505482005
80.6798559569587,6,38696.2670597235,20.7900056845879,982.301492419683,1001.3834048316,33.7876581029777,0.00854272761947163,574.681861894953,-0.0339329180159067,0.764059081478019,0.764530706050486,38448.5800623575,88.7393676757813,563.243685578142,179.438233790838,326.06961063154,1918.44505482005
80.9198559569585,6,38931.7193121764,22.3593937186688,980.220892947656,999.329742959788,33.7876581029777,0.00821438535202194,552.005359771144,-0.0343859655078719,0.737582477356716,0.73815467206772,38685.2353032685,88.7728576660156,563.243685578142,179.4542926536,326.06961063154,1918.44505482005
81.1598559569583,6,39166.6728043084,23.9174282218334,978.14253215857,997.278408829471,33.7876581029777,0.00790338570600822,530.378888541181,-0.0349745656875096,0.712206065799338,0.712702188049097,38921.3713970711,88.8054016113281,563.243685578142,179.469672650352,326.06961063154,1918.44505482005
81.399855956958,6,39401.1280626771,25.5174971321482,976.066368102924,995.22936195678,33.7876581029777,0.00760861573007946,509.738897862959,-0.0354331038333519,0.687979372525187,0.688468115307824,39157.0047584776,88.8368774414062,563.243685578142,179.484408991686,326.06961063154,1918.44505482005
81.6398559569578,6,39635.0856047377,27.1067239146326,973.992361319283,993.182564273184,33.7876581029777,0.00732900571883781,490.024878283164,-0.0358827695131263,0.664839803372405,0.665261726055551,39391.8182055568,88.8671417236328,563.243685578142,179.49853445358,326.06961063154,1918.44505482005
